Time	GnRH	FSH	LH	Foll	CL	P4	E2	Inh	PGF	IOF
0.0	0.0027	0.5706	0.0	0.6131	0.0098	0.0504	0.365	0.2603	0.1418	0.263
0.1001669449081803	0.0047687907118216305	0.5633100049224774	3.136258935889294e-05	0.6518085674083235	0.009796205446568075	0.04831877764284341	0.40129595437137705	0.2909422747079147	0.1368326190479009	0.2573966136204011
0.2003338898163606	0.007985199667647623	0.548026370429285	0.00010704681991819103	0.6900980966604585	0.009793168155406626	0.04634556823905995	0.4388272366012369	0.32291835022687776	0.1320392460595578	0.2519126110503031
0.3005008347245409	0.01286242051050032	0.5280663195981694	0.0003033430199102378	0.7272491707704594	0.009790816476590077	0.04447479587475026	0.47742921223415835	0.35612898705427576	0.12741378595489783	0.24654544872827763
0.4006677796327212	0.02006943291565737	0.5056925985969078	0.0007911083647280674	0.7627936411980174	0.0097891226105742	0.04270117153697247	0.5168915144815178	0.390441346778839	0.12295035717226464	0.24129263729670847
0.5008347245409015	0.030442251503190205	0.4823336680640773	0.0019368725746828073	0.7964476655738202	0.009788284565269291	0.04101968425048119	0.5569823651327822	0.42570395030811004	0.11864328413518505	0.2361517404353649
0.6010016694490818	0.044979584123554996	0.45885358052485115	0.00448157124742363	0.8280563840222602	0.009789686753135093	0.03942561891947123	0.5974651931318886	0.4617571889487928	0.11448709002605167	0.23112037373140615
0.7011686143572621	0.06481740051039571	0.43576061172730474	0.009830163663087595	0.8575503183466748	0.009800376874491992	0.037914701003258305	0.6381093270803664	0.4984403549091446	0.1104764898212979	0.22619620357345954
0.8013355592654424	0.09117880461213891	0.41334547489249646	0.02047106107667378	0.8849019499333575	0.009851540083736137	0.03648378570660876	0.6786958517375871	0.5355957595140242	0.10660638357589404	0.2213769460692641
0.9015025041736228	0.12529874512060232	0.3917672187232363	0.04049286111677249	0.9100500699050054	0.010065705824301836	0.03513362144341544	0.7190176414133189	0.5730691907684099	0.1028718499470242	0.2166603659863724
1.001669449081803	0.1683257160414158	0.3711053016118601	0.07604940571646163	0.9327084414924192	0.010869422248960783	0.03387853484946724	0.7588673144537201	0.6107025318511954	0.09926813994982008	0.21204427571541953
1.1018363939899833	0.2211999310250832	0.3513909983434212	0.1354084682627513	0.9518838068189771	0.013558812374141579	0.03277589262361594	0.7979948319512529	0.6483064401646881	0.09579067094314153	0.20752653425548792
1.2020033388981637	0.28449110378588494	0.3326264620368298	0.22785427055340626	0.9649153234950147	0.02144245688734995	0.03200072893332024	0.8359980754457007	0.6855886590167136	0.09243502085250745	0.20310504622110398
1.302170283806344	0.35814713885104293	0.3147964232390651	0.3601597677939857	0.9664721488317977	0.041042605030820245	0.03198737573422935	0.8721157860539299	0.722016576214164	0.0891969226581227	0.19877776087090157
1.4023372287145242	0.4411044866930898	0.2978754201854777	0.5290731531589058	0.9497642965204142	0.08066840663262978	0.033574263483634376	0.9050205245323869	0.7566750014532605	0.08607225925396003	0.1945426711704102
1.5025041736227045	0.5308603138844291	0.28183216581712167	0.7108396238248367	0.9118661976688894	0.14407366786122514	0.03792248831673807	0.9329531481700221	0.7883407574904819	0.08305705916008752	0.19039781309162096
1.6026711185308848	0.6233534319986987	0.2666320380533921	0.8577737311485725	0.8578068622780831	0.2254353929585598	0.04607756191041901	0.9543800769365754	0.815900427669192	0.0801474952152063	0.18634126645194923
1.7028380634390652	0.7134069996624632	0.2522385329718128	0.9188099017178305	0.797172714498653	0.3129925114042537	0.05851323995037003	0.9686412103270535	0.8387780577605471	0.07733989444019396	0.18237115915908003
1.8030050083472455	0.7955519952472289	0.23861430374764997	0.8775328706030937	0.7380387325692381	0.3956368313492341	0.07502632136482466	0.9760229428412444	0.857003751542788	0.07463078441891474	0.1784856685770169
1.9031719532554257	0.8649014814404279	0.22572200970907727	0.763497263949602	0.6837709273972032	0.4658349241288931	0.09490749883320508	0.9773590195353644	0.8709758590138706	0.07201703245755037	0.17468300756860564
2.003338898163606	0.9178543383885497	0.2135249909637512	0.6231449451857753	0.6333492331165285	0.5199570819660719	0.1171784827564438	0.9735176159815626	0.8811391857074458	0.06949615335337482	0.17096140707245344
2.1035058430717863	0.952485253282747	0.20198775469714156	0.490444103759332	0.58540976175147	0.5581474771446926	0.14081828360754142	0.9651506465741128	0.8878212697835379	0.06706681477725529	0.1673191197770155
2.2036727879799667	0.9685968203620203	0.19107624144564148	0.38022209136586066	0.5407580264158202	0.5834404108923318	0.16495422174209962	0.9528426896156353	0.8913230998737224	0.06472945047589927	0.1637544356323127
2.303839732888147	0.9674632181375545	0.18075790844265585	0.2944931413688057	0.500286060329874	0.5998340081634554	0.18896209077088916	0.9372408072236508	0.8920017653766324	0.06248680888691129	0.1602656889991504
2.4040066777963274	0.9513408095536663	0.17100174312370853	0.22971188156761818	0.4638250229359144	0.6106982290235904	0.21245730456646642	0.9189803983382906	0.890223303036029	0.06034430409890393	0.15685125691259183
2.5041736227045077	0.9229421482559204	0.1617782639792439	0.1810707376048249	0.430734403500386	0.6183065976035764	0.2352302709674034	0.8986070260176321	0.8863109560065454	0.05831013143443337	0.15350955517539683
2.604340567612688	0.8850353565671535	0.15305950905749446	0.14428748532473304	0.40040509528056933	0.6240309780401104	0.25718086605755663	0.8765651519505584	0.8805352519987988	0.05639517116868595	0.15023903530819468
2.704507512520868	0.8402026185971463	0.14481900929691915	0.11606686986960957	0.372387424139082	0.6286612866561283	0.2782721453284157	0.8532166439290367	0.8731233397066414	0.054612722427996065	0.14703818258274923
