Time	R_GnRH-a	R_GnRH-i	Ant_c	GnRH_R-i	Ago_R-i	GnRH	Ago_c	LH_bld	AF3	FSH_bld	AF4	InhB	LH_Pit	Lut1	Lut3	OvF	P4	R_FSH_des	R_Foll	AF1	R_LH_des	Sc1	InhA_delay	FSH_pit	E2	Ant_R	PrF	GnRH_R-a	InhA	Lut4	Ago_R-a	FSH_R	R_LH	AF2	Ant_p	Sc2	Ant_d	Ago_d	Lut2	R_FSH	LH_R	Values[freq]	Values[mass]
74	0.00898237	0.000996941	0	9.75261e-05	1.53189e-26	0.0245844	1.02427e-24	3.25259	0.207306	4.02542	1.54172e-05	43.3414	258400	0.0797165	0.104728	2.31831e-18	8.41315	1.48552	0.35207	2.56418	0.838432	0.00549625	106.235	31568.4	133.341	0	0.209842	0.000105703	11.4246	0.0614222	-1.79977e-25	0.653975	8.22034	4.44892	0	0.0400381	0	0	0.113479	6.36051	0.313228	0.32114	0.00187824
75	0.00909691	0.000967603	0	5.71339e-05	3.41145e-23	0.0142179	8.20367e-22	2.69171	0.224475	3.39713	7.62745e-06	30.7421	258556	0.047718	0.115365	2.93311e-19	12.6354	1.304	0.177913	2.50978	0.703619	0.00162168	131.81	34289.5	170.02	0	0.209922	6.19113e-05	11.4083	0.0886217	-6.40187e-22	0.574404	8.40395	6.34536	0	0.0176227	0	0	0.092814	6.6216	0.264431	0.153123	0.00239027
76	0.00916647	0.000950655	0	3.34806e-05	4.03792e-25	0.00827037	5.73975e-23	2.65506	0.24055	3.06917	7.55491e-06	27.0576	258768	0.0258506	0.106848	1.69152e-19	15.3312	1.20262	0.115129	2.4124	0.694553	0.000478482	150.728	34781.2	192.929	0	0.209953	3.62879e-05	10.4595	0.104232	1.19668e-23	0.530174	8.41628	7.99719	0	0.00742818	0	0	0.0659575	6.76721	0.261163	0.11808	0.00269652
77	0.0092089	0.000941166	0	1.98974e-05	3.22815e-26	0.00489545	1.3144e-23	2.65495	0.256583	2.9079	8.05046e-06	27.5057	259013	0.0131292	0.0878578	1.28132e-19	16.011	1.15118	0.0883306	2.31623	0.694495	0.000141178	161.287	34450	196.435	0	0.209976	2.15784e-05	8.94679	0.106246	-1.75959e-25	0.50771	8.41635	9.49024	0	0.00304661	0	0	0.0426698	6.84111	0.261151	0.111147	0.00274162
78	0.00923558	0.000936002	0	1.21518e-05	-3.38935e-27	0.00298429	-8.99159e-25	2.6568	0.273016	2.81556	8.6161e-06	29.6891	259208	0.00637559	0.0663376	1.09195e-19	14.9936	1.12131	0.0754434	2.23725	0.694932	4.1655e-05	163.561	33904.4	183.129	0	0.209996	1.31917e-05	7.23983	0.097573	1.11303e-26	0.494632	8.41575	10.88	0	0.00122687	0	0	0.0258336	6.88406	0.261314	0.11586	0.00256778
79	0.00925312	0.000933336	0	7.78326e-06	-9.62631e-28	0.00191152	-8.79992e-26	2.65773	0.290075	2.76177	9.19734e-06	32.535	259296	0.00299601	0.0470153	9.90674e-20	12.9411	1.10367	0.0685281	2.17667	0.695153	1.22905e-05	158.884	33460.6	159.52	0	0.210015	8.46477e-06	5.61428	0.0828423	-1.09748e-27	0.486931	8.41545	12.1994	0	0.000487799	0	0	0.0148956	6.9094	0.261396	0.141671	0.00224476
80	0.0092651	0.00093217	0	5.45241e-06	-1.14891e-28	0.00134214	-2.62083e-26	2.65852	0.30797	2.74986	9.79355e-06	35.6143	259374	0.0013732	0.0317479	9.40946e-20	10.4945	1.09947	0.0651853	2.13498	0.695336	3.62635e-06	149.169	33389.6	132.183	0	0.210034	5.94993e-06	4.22276	0.0661936	-1.31098e-28	0.485196	8.4152	13.4751	0	0.000192188	0	0	0.00827586	6.91533	0.261466	0.207758	0.00186222
81	0.00927343	0.000931968	0	4.44253e-06	-7.21028e-30	0.00109856	-1.66442e-27	2.66132	0.327042	2.80249	1.04298e-05	38.8028	259645	0.000617247	0.0206436	9.47777e-20	8.10913	1.116	0.065609	2.11745	0.695981	1.06997e-06	136.367	34035.9	105.874	0	0.210053	4.87305e-06	3.1168	0.0504143	-7.41483e-30	0.492681	8.41431	14.7393	0	7.52197e-05	0	0	0.00446692	6.89132	0.261713	0.343096	0.00151672
82	0.00927887	0.0009325	0	4.45261e-06	2.6476e-27	0.00110786	1.85296e-25	2.66769	0.347905	2.95885	1.11447e-05	42.1402	260258	0.000273159	0.0130261	1.03961e-19	6.03519	1.1652	0.071539	2.13541	0.697458	3.15698e-07	122.134	35879.9	83.2273	0	0.210075	4.91541e-06	2.28459	0.0369437	2.23574e-27	0.514675	8.41227	16.0398	0	2.92961e-05	0	0	0.00235623	6.82013	0.262273	0.608538	0.00127865
83	0.00928095	0.000933849	0	5.629e-06	-3.91189e-28	0.00140981	-1.06118e-26	2.6788	0.371605	3.26771	1.20006e-05	45.7814	261326	0.00011936	0.00802273	1.25959e-19	4.36456	1.25995	0.0852833	2.20226	0.700042	9.3148e-08	107.714	39468.8	65.2106	0	0.210103	6.25419e-06	1.684	0.026233	-4.47991e-28	0.556846	8.40871	17.4494	0	1.13684e-05	0	0	0.00122001	6.68321	0.263252	1.12449	0.00116943
84	0.00927733	0.000936558	0	8.76413e-06	1.14218e-27	0.00220737	1.22384e-25	2.69568	0.399674	3.76121	1.3105e-05	49.9667	262945	5.16108e-05	0.00484446	1.62713e-19	3.09114	1.40427	0.106576	2.31765	0.703969	2.74837e-08	93.9396	45063.5	51.7585	0	0.210139	9.78574e-06	1.26455	0.0181487	5.50251e-28	0.620862	8.40329	19.066	0	4.39945e-06	0	0	0.000622173	6.47487	0.264736	2.09547	0.0011684
85	0.00926308	0.00094179	0	1.55385e-05	6.51872e-29	0.00392852	8.16242e-27	2.7191	0.433935	4.42212	1.45949e-05	54.9387	265185	2.21207e-05	0.00287803	2.10177e-19	2.16045	1.58462	0.130946	2.44829	0.709421	8.10916e-09	81.3025	52066	42.2929	0	0.21019	1.73872e-05	0.979198	0.0122854	3.64684e-29	0.700625	8.39578	20.985	0	1.69901e-06	0	0	0.000313336	6.21476	0.266795	3.77237	0.00123402
86	0.00923165	0.000951111	0	2.81759e-05	-1.46467e-27	0.00714153	-3.66617e-25	2.75052	0.47627	5.19717	1.66226e-05	60.8128	268068	9.41057e-06	0.00168683	2.77751e-19	1.50238	1.77886	0.163351	2.54256	0.716714	2.39264e-09	70.0379	58662	36.0572	0	0.210261	3.1502e-05	0.789178	0.0081651	-6.61508e-27	0.786379	8.38574	23.2512	0	6.55107e-07	0	0	0.000156159	5.93476	0.26955	6.23186	0.00132231
87	0.00918004	0.000965193	0	4.75926e-05	1.34287e-27	0.0120936	-7.07334e-26	2.8048	0.529249	6.07762	1.96805e-05	67.5352	271558	3.97789e-06	0.000977552	4.45534e-19	1.0493	1.97926	0.239933	2.57155	0.729151	7.05957e-10	60.2064	62568.8	32.3143	0	0.210373	5.30567e-05	0.664865	0.0053426	-5.08455e-28	0.874876	8.36856	25.8439	0	2.52294e-07	0	0	7.71456e-05	5.64587	0.274285	9.06722	0.00139913
88	0.00911506	0.000982262	0	7.12464e-05	-5.59583e-25	0.0181638	-6.37802e-23	2.97216	0.598083	7.08204	2.69624e-05	74.9669	275550	1.67209e-06	0.000561133	9.6702e-19	0.744092	2.18557	0.388429	2.53689	0.766936	2.08295e-10	51.7595	63183.1	30.514	0	0.210607	7.914e-05	0.584768	0.00344924	-7.5161e-25	0.965869	8.31632	28.7095	0	9.70744e-08	0	0	3.78281e-05	5.34856	0.288743	11.5566	0.00144407
89	0.009051	0.000998671	0	9.40289e-05	6.85784e-27	0.024057	1.32077e-23	3.45494	0.694461	8.0058	5.28127e-05	82.8748	279843	6.99265e-07	0.000319469	3.18928e-18	0.542181	2.35796	0.581694	2.46361	0.874122	6.14583e-11	44.5875	61439.9	30.4636	0	0.211275	0.0001041	0.533955	0.00220104	-8.72106e-26	1.04148	8.16836	31.7579	0	3.7325e-08	0	0	1.84283e-05	5.10056	0.329516	13.2875	0.00144541
90	0.00900064	0.0010112	0	0.000111476	-7.03296e-26	0.0285995	-1.24105e-23	4.2906	0.851034	8.512	0.000137649	90.8822	284162	2.90997e-07	0.00018057	1.48437e-17	0.410608	2.44682	0.791327	2.39608	1.05271	1.81335e-11	38.5533	58331.4	32.2871	0	0.21395	0.000123087	0.502804	0.00139007	-1.57736e-26	1.08	7.9224	34.8437	0	1.43437e-08	0	0	8.92447e-06	4.97318	0.396883	14.323	0.00139977
91	0.00896967	0.00101848	0	0.00012171	2.87668e-24	0.0312682	5.8681e-23	5.10782	1.13602	8.47558	0.000332558	98.5651	288331	1.20542e-07	0.000101415	7.28492e-17	0.325988	2.44205	1.00599	2.36621	1.2189	5.35034e-12	33.5177	54593.1	36.1865	0	0.224503	0.000134124	0.486995	0.000869878	-5.39185e-23	1.07727	7.69406	37.8035	0	5.50993e-09	0	0	4.29908e-06	4.98068	0.459044	14.9004	0.00132001
92	0.00895639	0.00102106	0	0.0001255	5.88338e-26	0.0322471	4.17365e-24	5.53149	1.6036	8.02892	0.000612907	105.638	292383	4.97408e-08	5.66557e-05	4.44911e-16	0.272204	2.36586	1.22201	2.37779	1.30233	1.57863e-12	29.3609	50730.1	42.0778	0	0.25446	0.000138128	0.487661	0.00054004	3.42394e-26	1.04326	7.57973	40.528	0	2.11589e-09	0	0	2.0618e-06	5.09088	0.489932	15.217	0.00123637
93	0.00895401	0.00102076	0	0.00012538	1.39182e-27	0.032206	3.20098e-25	5.59475	2.23134	7.40292	0.000887132	112.083	296443	2.04629e-08	3.15146e-05	4.321e-15	0.238374	2.25224	1.43802	2.41748	1.31514	4.65779e-13	25.9947	47027	49.2193	0	0.313498	0.000137919	0.507658	0.000333	1.29454e-27	0.992969	7.56236	43.0104	0	8.12337e-10	0	0	9.85371e-07	5.25479	0.494495	15.3926	0.00117944
94	0.00895507	0.00101955	0	0.000124061	-1.20076e-28	0.0318625	-1.70104e-26	5.54294	2.96792	6.77617	0.00114539	117.987	300579	8.39737e-09	1.7468e-05	6.13248e-14	0.217282	2.13049	1.65323	2.46789	1.30533	1.37429e-13	23.3538	43590.9	57.0692	0	0.405747	0.000136464	0.547867	0.000204136	-1.38656e-28	0.939263	7.57588	45.2847	0	3.11816e-10	0	0	4.69607e-07	5.43025	0.490794	15.4921	0.00115799
95	0.00895434	0.0010188	0	0.000123408	1.08822e-28	0.0317077	-9.34693e-27	5.56068	3.7918	6.2338	0.00147742	123.355	304770	3.43838e-09	9.6532e-06	1.18981e-12	0.204228	2.01815	1.86696	2.51564	1.30827	4.05489e-14	21.3893	40425.7	66.0277	0	0.539654	0.000135788	0.610665	0.000124496	-4.07532e-27	0.889801	7.57169	47.3525	0	1.19674e-10	0	0	2.23271e-07	5.59204	0.49204	15.5497	0.00117212
96	0.0089478	0.00101948	0	0.000124815	-1.26736e-25	0.0321147	-2.19693e-24	5.78709	4.72255	5.81189	0.0020893	128.044	308939	1.40484e-09	5.32037e-06	3.81108e-11	0.196198	1.9258	2.07867	2.55339	1.35004	1.19641e-14	20.0851	37490	77.6161	0	0.744133	0.000137425	0.70741	7.5573e-05	2.99122e-25	0.849231	7.5139	49.1578	0	4.59253e-11	0	0	1.05923e-07	5.72497	0.508052	15.5839	0.00123472
97	0.00892874	0.0010232	0	0.000130587	-1.64488e-23	0.0337217	-2.54481e-22	6.54372	5.84718	5.56158	0.00380637	131.556	312931	5.72654e-10	2.92495e-06	4.15698e-09	0.191287	1.8683	2.28826	2.57844	1.4855	3.53003e-15	19.5197	34714.6	96.6619	0	1.12497	0.000143983	0.879995	4.56767e-05	2.6807e-22	0.824215	7.32665	50.5074	0	1.76225e-11	0	0	5.01429e-08	5.80749	0.559846	15.6077	0.0014103
98	0.00886681	0.00103692	0	0.000151234	1.34464e-23	0.0395797	3.10755e-22	10.3022	7.46116	5.77838	0.0184584	130.73	316288	2.32615e-10	1.60308e-06	6.9369e-05	0.188295	1.91344	2.49729	2.58862	2.06176	1.04155e-15	20.2194	31947.2	156.412	0	2.57526	0.000167761	1.41683	2.74792e-05	-2.63585e-22	0.845761	6.52732	50.1639	0	6.76172e-12	0	0	2.36659e-08	5.7408	0.782919	16.1143	0.0022013
99	0.00825121	0.0011888	0	0.000366507	6.42207e-25	0.102673	3.46387e-23	124.891	0.222407	9.65703	0.0325502	118.58	303423	0.0273714	0.000805392	0.00118804	0.189511	2.63335	2.71263	2.42325	5.73693	0.269382	30.1108	27117.8	211.358	0	0.303981	0.000405137	5.38226	8.58282e-05	-2.76608e-25	1.16049	1.47785	3.89663	0	0.139467	0	0	0.00593286	4.70616	2.15722	21.8727	0.00292749
100	0.00849005	0.00112707	0	0.000276169	-9.83719e-27	0.0740316	-2.3596e-24	69.0415	0.0428999	6.65285	0.00382958	130.549	270932	0.10567	0.0242331	5.94082e-09	0.829599	2.11222	2.87748	2.41753	5.09778	0.0794819	47.8477	22905.3	59.6324	0	0.0608028	0.000300778	7.02694	0.00635748	-9.38103e-27	0.928366	2.36406	0.677575	0	0.164441	0	0	0.061394	5.45941	1.91016	10.8259	0.00115835
