,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
FSH_pit,48627.2,55608.6,60646.0,62353.0,61351.9,58699.9,55212.2,51458.5,47780.7,44330.5,41140.5,38185.7,35412.4,32725.2,29190.0,24008.9,22942.8,28220.4,32994.3,34592.5,34655.8,34204.2,33682.9,33373.2,33567.2,34664.6,37195.9,41649.3,47991.5,55123.9,60827.1,63299.4,62786.7,60358.5,56899.6,53049.0,49218.5,45611.3,42282.7,39213.0,36349.8,33607.2,30504.9,25109.7,22656.3,27045.0,32382.4,34482.3,34722.4,34310.6,33761.4,33367.9,33407.3,34248.3,36397.4,40384.4,46346.4,53454.8,59676.5,62900.2,62954.6,60868.7,57584.1,53788.9,49943.1,46290.9,42912.4,39799.3,36904.6,34152.3,31313.8,26086.3,22591.2,25821.6,31568.4,34289.5,34781.2,34450.0,33904.4,33460.6,33389.6,34035.9,35879.9,39468.8,45063.5,52066.0,58662.0,62568.8,63183.1,61439.9,58331.4,54593.1,50730.1,47027.0,43590.9,40425.7,37490.0,34714.6,31947.2,27117.8,22905.3
E2,45.0,37.8029,33.3712,31.0565,30.5643,31.9591,35.3415,40.5942,47.17,54.5041,62.724,72.8346,87.6934,120.381,430.802,59.4233,77.6249,110.458,148.776,181.079,196.159,192.156,173.826,148.05,120.762,95.8168,75.0846,59.0351,47.3409,39.3219,34.2114,31.3287,30.2574,30.9598,33.6174,38.3788,44.8757,52.2962,60.4594,70.1606,83.6818,109.944,316.723,77.1027,70.9934,103.829,141.411,176.243,195.361,195.041,179.053,154.179,126.715,100.979,79.2187,62.1427,49.5449,40.789,35.1089,31.7901,30.343,30.6521,32.8751,37.1976,43.4051,50.6926,58.6824,67.9655,80.3845,102.323,194.01,123.797,64.5537,97.1491,133.341,170.02,192.929,196.435,183.129,159.52,132.183,105.874,83.2273,65.2106,51.7585,42.2929,36.0572,32.3143,30.514,30.4636,32.2871,36.1865,42.0778,49.2193,57.0692,66.0277,77.6161,96.6619,156.412,211.358,59.6324
PrF,0.244,0.24407,0.244176,0.244378,0.244895,0.246774,0.254254,0.276966,0.325046,0.40356,0.518281,0.687811,0.972742,1.68565,2.74831,0.0586878,0.134586,0.209833,0.210326,0.210371,0.210397,0.210418,0.210437,0.210455,0.210474,0.210494,0.210517,0.210547,0.210588,0.210645,0.210727,0.210872,0.211211,0.212351,0.217155,0.234072,0.275006,0.346771,0.453547,0.609312,0.860335,1.41131,7.78655,0.076555,0.0965785,0.208392,0.209889,0.209946,0.209974,0.209996,0.210016,0.210034,0.210053,0.210073,0.210095,0.210124,0.210162,0.210216,0.210291,0.210418,0.210695,0.211555,0.215118,0.228506,0.263673,0.328933,0.428166,0.572175,0.797147,1.24599,3.71902,0.136286,0.0726487,0.204826,0.209842,0.209922,0.209953,0.209976,0.209996,0.210015,0.210034,0.210053,0.210075,0.210103,0.210139,0.21019,0.210261,0.210373,0.210607,0.211275,0.21395,0.224503,0.25446,0.313498,0.405747,0.539654,0.744133,1.12497,2.57526,0.303981,0.0608028
GnRH_R_a,1.447e-05,2.64032e-05,4.58557e-05,7.11052e-05,9.69144e-05,0.000117824,0.00013102,0.000136851,0.000137769,0.000136678,0.000135739,0.000136451,0.000140659,0.000154084,0.00030605,0.000343927,0.00023479,0.000143694,8.47599e-05,4.95709e-05,2.91809e-05,1.75203e-05,1.089e-05,7.21014e-06,5.36013e-06,4.76306e-06,5.29104e-06,7.38539e-06,1.23341e-05,2.23841e-05,3.96944e-05,6.37412e-05,9.00964e-05,0.000113031,0.000128783,0.00013665,0.000138509,0.000137461,0.000136109,0.000136151,0.000139252,0.000149597,0.000227172,0.000369977,0.000257839,0.000160195,9.48833e-05,5.55128e-05,3.25976e-05,1.94709e-05,1.19945e-05,7.80619e-06,5.63e-06,4.79149e-06,5.06275e-06,6.74292e-06,1.09118e-05,1.9639e-05,3.52886e-05,5.8137e-05,8.4492e-05,0.000108578,0.000126034,0.000135507,0.000138401,0.000137721,0.000136275,0.000135914,0.000138202,0.000146353,0.000181502,0.000393123,0.000280065,0.000177489,0.000105703,6.19113e-05,3.62879e-05,2.15784e-05,1.31917e-05,8.46477e-06,5.94993e-06,4.87305e-06,4.91541e-06,6.25419e-06,9.78574e-06,1.73872e-05,3.1502e-05,5.30567e-05,7.914e-05,0.0001041,0.000123087,0.000134124,0.000138128,0.000137919,0.000136464,0.000135788,0.000137425,0.000143983,0.000167761,0.000405137,0.000300778
InhA,1.07,0.854923,0.71374,0.622475,0.564349,0.528235,0.508194,0.503687,0.517093,0.549634,0.602637,0.683088,0.815525,1.11394,4.07535,5.95227,8.7725,10.8431,11.5186,11.0823,9.85881,8.23021,6.53509,4.99787,3.72524,2.7381,2.00888,1.49014,1.13198,0.890573,0.731047,0.627357,0.560946,0.519195,0.494597,0.485197,0.493496,0.521547,0.570046,0.643805,0.761479,1.00056,2.67369,5.61397,8.20988,10.577,11.5205,11.2883,10.1924,8.61111,6.90111,5.31336,3.9773,2.92853,2.14672,1.58661,1.19769,0.934339,0.75965,0.645737,0.572557,0.526316,0.498411,0.485668,0.490005,0.513957,0.558198,0.62613,0.732211,0.932029,1.74744,5.4427,7.59489,10.2061,11.4246,11.4083,10.4595,8.94679,7.23983,5.61428,4.22276,3.1168,2.28459,1.684,1.26455,0.979198,0.789178,0.664865,0.584768,0.533955,0.502804,0.486995,0.487661,0.507658,0.547867,0.610665,0.70741,0.879995,1.41683,5.38226,7.02694
Lut4,0.01385,0.00924071,0.00606642,0.00392774,0.00251269,0.00159049,0.000997304,0.000620225,0.000383007,0.000235089,0.000143533,8.72181e-05,5.2768e-05,3.17886e-05,1.89271e-05,0.00224488,0.0165274,0.0430112,0.0732971,0.0963861,0.106301,0.103432,0.0917451,0.0758416,0.0593409,0.0444416,0.0321244,0.0225551,0.0154582,0.0103817,0.0068537,0.00445883,0.00286438,0.0018198,0.0011448,0.000713943,0.000441936,0.000271824,0.000166268,0.000101201,6.13217e-05,3.69973e-05,2.21772e-05,0.00105336,0.0125698,0.0370834,0.0676133,0.0929675,0.105779,0.105285,0.0949913,0.0795627,0.0628999,0.0474999,0.0345682,0.024407,0.0168056,0.0113311,0.00750546,0.00489683,0.00315358,0.00200794,0.00126563,0.00079065,0.000490131,0.000301845,0.000184834,0.000112613,6.82983e-05,4.12439e-05,2.47811e-05,0.000358157,0.00906998,0.0312445,0.0614222,0.0886217,0.104232,0.106246,0.097573,0.0828423,0.0661936,0.0504143,0.0369437,0.026233,0.0181487,0.0122854,0.0081651,0.0053426,0.00344924,0.00220104,0.00139007,0.000869878,0.00054004,0.000333,0.000204136,0.000124496,7.5573e-05,4.56767e-05,2.74792e-05,8.58282e-05,0.00635748
FSH_R,0.662,0.74767,0.836789,0.929291,1.01296,1.06409,1.07325,1.04803,1.00274,0.950677,0.900485,0.857149,0.825556,0.8202,1.08869,1.01617,0.814596,0.707133,0.61542,0.551401,0.518637,0.501219,0.490699,0.485405,0.487169,0.500188,0.530254,0.58199,0.6539,0.737285,0.824014,0.914386,1.00221,1.06419,1.08497,1.06747,1.02475,0.971636,0.918838,0.872307,0.836614,0.822365,0.966216,1.07518,0.851106,0.730397,0.635044,0.562426,0.524012,0.504106,0.49222,0.485552,0.48531,0.495205,0.520817,0.567456,0.635392,0.717159,0.803488,0.892982,0.983043,1.05259,1.08258,1.07249,1.03395,0.98207,0.9287,0.880608,0.842297,0.821919,0.871333,1.12383,0.88759,0.75086,0.653975,0.574404,0.530174,0.50771,0.494632,0.486931,0.485196,0.492681,0.514675,0.556846,0.620862,0.700625,0.786379,0.874876,0.965869,1.04148,1.08,1.07727,1.04326,0.992969,0.939263,0.889801,0.849231,0.824215,0.845761,1.16049,0.928366
R_LH,8.41,8.40025,8.38645,8.35045,8.23855,8.01963,7.78046,7.63271,7.58844,7.59249,7.59371,7.55754,7.43542,7.02869,2.14758,1.86586,4.03834,7.58649,8.35577,8.41722,8.42069,8.42019,8.41967,8.41945,8.41898,8.41764,8.41499,8.41066,8.40438,8.39589,8.38406,8.35803,8.27307,8.07641,7.8202,7.63377,7.56686,7.57013,7.58132,7.56068,7.46688,7.16346,4.18626,1.67098,3.28821,7.08465,8.30348,8.41142,8.4182,8.4179,8.41733,8.41707,8.41673,8.41564,8.41332,8.4094,8.40357,8.3956,8.38481,8.36411,8.29757,8.12549,7.87125,7.66133,7.57092,7.56514,7.57852,7.56712,7.49356,7.25904,5.99645,1.54163,2.74219,6.42543,8.22034,8.40395,8.41628,8.41635,8.41575,8.41545,8.4152,8.41431,8.41227,8.40871,8.40329,8.39578,8.38574,8.36856,8.31632,8.16836,7.9224,7.69406,7.57973,7.56236,7.57588,7.57169,7.5139,7.32665,6.52732,1.47785,2.36406
AF2,19.92,21.9515,24.3718,27.1178,30.0999,33.1793,36.1908,39.0046,41.5822,43.9458,46.1074,48.0353,49.6145,50.3474,25.6917,0.734071,1.1344,3.18975,5.25044,7.03018,8.6041,10.0471,11.4029,12.7001,13.9667,15.24,16.5776,18.0641,19.8016,21.8691,24.2814,26.9997,29.9594,33.0463,36.1013,38.9736,41.5972,43.994,46.19,48.1663,49.8319,50.8394,44.4409,0.983271,0.883129,2.73537,4.85886,6.69748,8.30939,9.77628,11.1476,12.4538,13.722,14.9865,16.2994,17.7394,19.4071,21.3919,23.7251,26.3764,29.2874,32.3564,35.4298,38.3483,41.0223,43.4613,45.6966,47.7202,49.4608,50.666,49.0984,1.756,0.73824,2.28074,4.44892,6.34536,7.99719,9.49024,10.88,12.1994,13.4751,14.7393,16.0398,17.4494,19.066,20.985,23.2512,25.8439,28.7095,31.7579,34.8437,37.8035,40.528,43.0104,45.2847,47.3525,49.1578,50.5074,50.1639,3.89663,0.677575
Sc2,2.171e-06,8.37349e-07,3.22553e-07,1.2413e-07,4.77342e-08,1.83458e-08,7.04784e-09,2.70664e-09,1.03918e-09,3.98906e-10,1.53103e-10,5.87551e-11,2.2546e-11,8.65093e-12,0.0247511,0.180665,0.122538,0.062714,0.0286922,0.0123741,0.00515032,0.00209477,0.000838707,0.000332103,0.000130457,5.09475e-05,1.98104e-05,7.6781e-06,2.96861e-06,1.14564e-06,4.41502e-07,1.69962e-07,6.53755e-08,2.51308e-08,9.65584e-09,3.70863e-09,1.42402e-09,5.46666e-10,2.09825e-10,8.05261e-11,3.09011e-11,1.18571e-11,1.16531e-05,0.180087,0.137906,0.073209,0.0340755,0.0148396,0.00621428,0.00253778,0.00101894,0.000404277,0.00015904,6.21764e-05,2.41959e-05,9.38345e-06,3.62959e-06,1.40121e-06,5.40132e-07,2.07972e-07,8.00083e-08,3.07593e-08,1.18195e-08,4.53996e-09,1.74332e-09,6.6927e-10,2.56891e-10,9.85915e-11,3.78342e-11,1.45176e-11,5.57036e-12,0.16694,0.152163,0.0843725,0.0400381,0.0176227,0.00742818,0.00304661,0.00122687,0.000487799,0.000192188,7.52197e-05,2.92961e-05,1.13684e-05,4.39945e-06,1.69901e-06,6.55107e-07,2.52294e-07,9.70744e-08,3.7325e-08,1.43437e-08,5.50993e-09,2.11589e-09,8.12337e-10,3.11816e-10,1.19674e-10,4.59253e-11,1.76225e-11,6.76172e-12,0.139467,0.164441
Lut2,0.0003772,0.000188406,9.32511e-05,4.57991e-05,2.23438e-05,1.08354e-05,5.226e-06,2.50885e-06,1.19996e-06,5.72225e-07,2.72202e-07,1.292e-07,6.11969e-08,2.89171e-08,7.94203e-05,0.0368275,0.0920151,0.11562,0.106475,0.0815834,0.0555406,0.0348722,0.0206575,0.0117168,0.00642735,0.00343439,0.00179696,0.000924298,0.000468808,0.000235032,0.000116691,5.74629e-05,2.80987e-05,1.36542e-05,6.59742e-06,3.17191e-06,1.51886e-06,7.24996e-07,3.45162e-07,1.63954e-07,7.77144e-08,3.67527e-08,1.77295e-08,0.0247639,0.0828277,0.114169,0.110628,0.0874796,0.0608111,0.0387439,0.0231981,0.0132648,0.00732244,0.00393224,0.00206572,0.00106603,0.000542162,0.00027242,0.000135509,6.68363e-05,3.27276e-05,1.59236e-05,7.70276e-06,3.70692e-06,1.77641e-06,8.48449e-07,4.04144e-07,1.92059e-07,9.10764e-08,4.30944e-08,2.03165e-08,0.0138844,0.0721639,0.110784,0.113479,0.092814,0.0659575,0.0426698,0.0258336,0.0148956,0.00827586,0.00446692,0.00235623,0.00122001,0.000622173,0.000313336,0.000156159,7.71456e-05,3.78281e-05,1.84283e-05,8.92447e-06,4.29908e-06,2.0618e-06,9.85371e-07,4.69607e-07,2.23271e-07,1.05923e-07,5.01429e-08,2.36659e-08,0.00593286,0.061394
R_FSH,6.341,6.06123,5.77027,5.46819,5.19413,5.02564,4.9942,5.07556,5.22301,5.39298,5.55709,5.69896,5.80272,5.82187,4.96217,5.1718,5.8343,6.18686,6.48684,6.69731,6.80518,6.86243,6.89699,6.91449,6.90905,6.86705,6.76958,6.60143,6.36719,6.09508,5.81189,5.51687,5.22956,5.02576,4.95633,5.01224,5.15113,5.32445,5.49703,5.64932,5.76641,5.81421,5.36965,4.97903,5.71396,6.11073,6.42248,6.66101,6.78748,6.85294,6.89197,6.91395,6.91503,6.88318,6.80022,6.64872,6.42753,6.16079,5.8789,5.58677,5.29234,5.064,4.96444,4.99608,5.12117,5.29037,5.46478,5.62213,5.74772,5.81527,5.66143,4.8212,5.59354,6.04371,6.36051,6.6216,6.76721,6.84111,6.88406,6.9094,6.91533,6.89132,6.82013,6.68321,6.47487,6.21476,5.93476,5.64587,5.34856,5.10056,4.97318,4.98068,5.09088,5.25479,5.43025,5.59204,5.72497,5.80749,5.7408,4.70616,5.45941
LH_R,0.263,0.26558,0.269376,0.279339,0.310222,0.370287,0.435512,0.475555,0.487421,0.48626,0.485986,0.49603,0.529781,0.642619,1.98943,2.04835,1.44649,0.482349,0.277194,0.260878,0.259964,0.260103,0.260243,0.260304,0.260433,0.260803,0.261533,0.262719,0.264443,0.266769,0.270018,0.277216,0.300697,0.354756,0.424752,0.475364,0.493348,0.492351,0.489336,0.495117,0.521062,0.605118,1.45638,2.10233,1.65372,0.616958,0.291105,0.262435,0.260642,0.260729,0.260885,0.260954,0.261047,0.261349,0.261988,0.263064,0.264662,0.266847,0.269808,0.275524,0.29393,0.341292,0.410842,0.467913,0.492286,0.493723,0.490085,0.493318,0.51368,0.578587,0.934357,2.13836,1.80516,0.794677,0.313228,0.264431,0.261163,0.261151,0.261314,0.261396,0.261466,0.261713,0.262273,0.263252,0.264736,0.266795,0.26955,0.274285,0.288743,0.329516,0.396883,0.459044,0.489932,0.494495,0.490794,0.49204,0.508052,0.559846,0.782919,2.15722,1.91016
freq,3.17876,5.42714,8.23057,10.8947,12.8621,14.0795,14.767,15.144,15.3519,15.4689,15.5362,15.5757,15.6004,15.6502,31.2233,14.5763,3.93621,0.673432,0.221982,0.132535,0.113839,0.111731,0.123315,0.163485,0.253784,0.43336,0.784306,1.46034,2.69754,4.71382,7.40951,10.183,12.3743,13.7902,14.6059,15.0554,15.3026,15.4408,15.5199,15.566,15.594,15.6244,30.84,15.275,5.79779,0.909626,0.26268,0.140871,0.115475,0.111052,0.118721,0.150954,0.227979,0.383102,0.686808,1.27508,2.36891,4.20935,6.79505,9.61766,11.9697,13.5449,14.4687,14.9803,15.2611,15.4174,15.5063,15.5581,15.589,15.6138,19.0759,15.5907,8.30322,1.27571,0.32114,0.153123,0.11808,0.111147,0.11586,0.141671,0.207758,0.343096,0.608538,1.12449,2.09547,3.77237,6.23186,9.06722,11.5566,13.2875,14.323,14.9004,15.217,15.3926,15.4921,15.5497,15.5839,15.6077,16.1143,21.8727,10.8259
mass,0.00120799,0.00129309,0.0013753,0.00142992,0.00144274,0.00140755,0.00133543,0.00125386,0.00119161,0.00116102,0.00116285,0.00120381,0.00131868,0.00170183,0.00455803,0.0011582,0.00123479,0.00157327,0.00209415,0.0025404,0.00273809,0.0026865,0.00244237,0.00208395,0.00170691,0.0014011,0.00121754,0.00115798,0.00119048,0.00127067,0.0013576,0.00142303,0.00145095,0.00143241,0.00137,0.00128428,0.00120905,0.0011666,0.00115913,0.0011895,0.00128253,0.00156684,0.00393725,0.0012311,0.00119371,0.0014922,0.00199077,0.00247523,0.00272786,0.00272374,0.00251319,0.00217001,0.00178715,0.00145883,0.00124648,0.00116169,0.00117779,0.00125144,0.00133985,0.00141163,0.00144864,0.00144042,0.00138626,0.00130279,0.00122253,0.00117252,0.00115784,0.00117952,0.00125544,0.00147444,0.00271048,0.00174759,0.00116745,0.00141564,0.00187824,0.00239027,0.00269652,0.00274162,0.00256778,0.00224476,0.00186222,0.00151672,0.00127865,0.00116943,0.0011684,0.00123402,0.00132231,0.00139913,0.00144407,0.00144541,0.00139977,0.00132001,0.00123637,0.00117944,0.00115799,0.00117212,0.00123472,0.0014103,0.0022013,0.00292749,0.00115835
