,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
Lut1,2.762e-05,1.17688e-05,4.98154e-06,2.09652e-06,8.77788e-07,3.65715e-07,1.51658e-07,6.2636e-08,2.57853e-08,1.05873e-08,4.33716e-09,1.77294e-09,7.23148e-10,2.94157e-10,0.00153716,0.0810869,0.119185,0.100051,0.0654092,0.0373564,0.0196457,0.00977731,0.00467872,0.00217446,0.000988139,0.000441146,0.000194151,8.44512e-05,3.63778e-05,1.55417e-05,6.59361e-06,2.78051e-06,1.16627e-06,4.86736e-07,2.02156e-07,8.35981e-08,3.44494e-08,1.41569e-08,5.80411e-09,2.37443e-09,9.69249e-10,3.94648e-10,7.26697e-08,0.0639939,0.117586,0.106822,0.0726525,0.0424414,0.0226437,0.0113817,0.00548587,0.0025635,0.00116987,0.000524045,0.000231268,0.000100824,4.35126e-05,1.86197e-05,7.91027e-06,3.33972e-06,1.40234e-06,5.85864e-07,2.43568e-07,1.00809e-07,4.15693e-08,1.70919e-08,7.01072e-09,2.86934e-09,1.17182e-09,4.77414e-10,1.93667e-10,0.0451719,0.112827,0.112191,0.0797165,0.047718,0.0258506,0.0131292,0.00637559,0.00299601,0.0013732,0.000617247,0.000273159,0.00011936,5.16108e-05,2.21207e-05,9.41057e-06,3.97789e-06,1.67209e-06,6.99265e-07,2.90997e-07,1.20542e-07,4.97408e-08,2.04629e-08,8.39737e-09,3.43838e-09,1.40484e-09,5.72654e-10,2.32615e-10,0.0273714,0.10567
Lut3,0.00334,0.00196312,0.00114035,0.000655901,0.000374083,0.000211777,0.00011911,6.66187e-05,3.7091e-05,2.05746e-05,1.13773e-05,6.27428e-06,3.4515e-06,1.89372e-06,3.69789e-06,0.0111848,0.0479474,0.0877445,0.111499,0.113434,0.0995426,0.0787772,0.0578279,0.0401169,0.0266433,0.017098,0.0106754,0.00651859,0.00390846,0.0023084,0.00134637,0.000777046,0.000444476,0.000252273,0.0001422,7.96789e-05,4.44284e-05,2.46751e-05,1.36593e-05,7.53989e-06,4.1513e-06,2.27975e-06,1.2453e-06,0.00628921,0.0395991,0.0806903,0.108803,0.115022,0.103617,0.0835492,0.0621849,0.043596,0.0291921,0.0188559,0.0118347,0.00725739,0.00436673,0.00258657,0.00151229,0.000874589,0.000501148,0.000284878,0.000160799,9.02048e-05,5.03448e-05,2.79824e-05,1.55001e-05,8.56084e-06,4.71589e-06,2.59127e-06,1.41874e-06,0.00272229,0.0313782,0.0727654,0.104728,0.115365,0.106848,0.0878578,0.0663376,0.0470153,0.0317479,0.0206436,0.0130261,0.00802273,0.00484446,0.00287803,0.00168683,0.000977552,0.000561133,0.000319469,0.00018057,0.000101415,5.66557e-05,3.15146e-05,1.7468e-05,9.6532e-06,5.32037e-06,2.92495e-06,1.60308e-06,0.000805392,0.0242331
OvF,7.652e-19,1.02809e-18,1.5443900000000001e-18,3.06201e-18,8.77871e-18,3.75598e-17,1.73882e-16,8.41278e-16,5.57993e-15,5.40747e-14,7.29496e-13,1.50618e-11,7.29236e-10,4.75214e-07,0.135359,7.8825e-07,3.94216e-12,1.08545e-16,6.448530000000001e-19,2.19693e-19,1.4681400000000001e-19,1.17816e-19,1.03561e-19,9.586939999999999e-20,9.318589999999999e-20,9.708439999999999e-20,1.11198e-19,1.39534e-19,1.8123700000000001e-19,2.3328800000000003e-19,3.26166e-19,5.901700000000001e-19,1.4995700000000001e-18,5.94842e-18,2.88173e-17,1.47351e-16,1.06855e-15,1.21653e-14,1.92039e-13,4.30039e-12,1.91143e-10,5.967e-08,0.0171125,9.95824e-06,4.97963e-11,6.57835e-16,1.0857900000000001e-18,2.4855600000000003e-19,1.55915e-19,1.21694e-19,1.05312e-19,9.641479999999999e-20,9.24795e-20,9.45395e-20,1.05812e-19,1.30581e-19,1.69609e-19,2.18801e-19,2.96009e-19,5.02953e-19,1.17371e-18,4.25164e-18,2.0337e-17,1.01344e-16,6.72116e-16,7.09931e-15,1.06443e-13,2.20632e-12,8.15504e-11,1.37129e-08,0.00121993,0.00011871,5.93613e-10,4.41782e-15,2.3183100000000003e-18,2.93311e-19,1.69152e-19,1.28132e-19,1.09195e-19,9.906739999999999e-20,9.409459999999999e-20,9.47777e-20,1.0396100000000001e-19,1.25959e-19,1.62713e-19,2.10177e-19,2.77751e-19,4.45534e-19,9.6702e-19,3.18928e-18,1.48437e-17,7.28492e-17,4.44911e-16,4.321e-15,6.13248e-14,1.18981e-12,3.81108e-11,4.15698e-09,6.9369e-05,0.00118804,5.94082e-09
P4,2.41,1.67491,1.1659,0.82145,0.592717,0.443192,0.346754,0.2853,0.246556,0.222354,0.207351,0.198111,0.192452,0.189003,0.186898,0.375033,2.10084,5.72779,10.217,13.9324,15.803,15.7199,14.1979,11.9216,9.46418,7.19298,5.28554,3.78645,2.66479,1.85681,1.2921,0.906966,0.649557,0.48037,0.370734,0.300575,0.256182,0.228365,0.211077,0.200406,0.193857,0.18986,0.187426,0.261507,1.59185,4.88907,9.34424,13.3481,15.643,15.9342,14.6485,12.4672,10.0013,7.66327,5.66637,4.07793,2.87854,2.00836,1.39668,0.977545,0.696323,0.510886,0.390386,0.31308,0.264055,0.233278,0.21412,0.202278,0.195004,0.190558,0.187851,0.206134,1.15535,4.07746,8.41315,12.6354,15.3312,16.011,14.9936,12.9411,10.4945,8.10913,6.03519,4.36456,3.09114,2.16045,1.50238,1.0493,0.744092,0.542181,0.410608,0.325988,0.272204,0.238374,0.217282,0.204228,0.196198,0.191287,0.188295,0.189511,0.829599
R_FSH_des,1.497,1.6911,1.89294,2.10252,2.29291,2.41027,2.43255,2.37641,2.27426,2.15635,2.04243,1.94389,1.87172,1.85793,2.44914,2.31203,1.85111,1.60601,1.39774,1.25129,1.17618,1.13635,1.11231,1.1001,1.10378,1.13276,1.20016,1.31658,1.47891,1.66764,1.8641,2.06875,2.26824,2.41005,2.45871,2.42029,2.32412,2.20392,2.08413,1.97837,1.89697,1.86343,2.16413,2.4458,1.93493,1.65888,1.44248,1.27657,1.1885,1.14296,1.11581,1.1005,1.09966,1.12161,1.17896,1.28382,1.43708,1.62205,1.81761,2.02025,2.22461,2.38342,2.45298,2.43143,2.34488,2.22756,2.10652,1.99726,1.90998,1.86281,1.96723,2.55497,2.01887,1.70543,1.48552,1.304,1.20262,1.15118,1.12131,1.10367,1.09947,1.116,1.1652,1.25995,1.40427,1.58462,1.77886,1.97926,2.18557,2.35796,2.44682,2.44205,2.36586,2.25224,2.13049,2.01815,1.9258,1.8683,1.91344,2.63335,2.11222
R_Foll,0.119,0.148384,0.207575,0.336054,0.519966,0.72651,0.940204,1.15595,1.37196,1.58738,1.80149,2.01369,2.22364,2.43201,2.64381,2.86015,1.9126,0.617058,0.257858,0.145084,0.101248,0.081751,0.0719497,0.0667015,0.0648857,0.0674204,0.0764801,0.093793,0.116907,0.142468,0.187208,0.294059,0.465838,0.668216,0.880701,1.09619,1.31234,1.52812,1.74282,1.95581,2.16663,2.37561,2.58606,2.80325,2.35867,0.759505,0.298923,0.159992,0.107671,0.0847774,0.0734796,0.0673597,0.0646905,0.066028,0.0733467,0.0887971,0.111146,0.136042,0.17348,0.2643,0.424901,0.623091,0.834276,1.04939,1.26549,1.48139,1.69635,1.90971,2.12096,2.33018,2.53961,2.75615,2.74094,0.951024,0.35207,0.177913,0.115129,0.0883306,0.0754434,0.0685281,0.0651853,0.065609,0.071539,0.0852833,0.106576,0.130946,0.163351,0.239933,0.388429,0.581694,0.791327,1.00599,1.22201,1.43802,1.65323,1.86696,2.07867,2.28826,2.49729,2.71263,2.87748
AF1,2.26,2.45161,2.54555,2.55022,2.49349,2.42287,2.38095,2.38051,2.41197,2.45869,2.50635,2.54619,2.57438,2.59001,2.54119,2.38916,2.49584,2.56174,2.54947,2.46986,2.36906,2.27957,2.2087,2.15618,2.12414,2.12041,2.15815,2.24753,2.37538,2.49601,2.56351,2.56356,2.50749,2.43068,2.37653,2.36482,2.39035,2.4367,2.48755,2.53202,2.56493,2.58478,2.57666,2.37727,2.46667,2.55211,2.55888,2.49128,2.39111,2.29762,2.22217,2.16504,2.12741,2.11578,2.14252,2.22008,2.34268,2.47055,2.55346,2.56921,2.52407,2.44823,2.38659,2.36549,2.38409,2.4273,2.47809,2.52427,2.5596,2.58206,2.58719,2.39115,2.44172,2.54114,2.56418,2.50978,2.4124,2.31623,2.23725,2.17667,2.13498,2.11745,2.13541,2.20226,2.31765,2.44829,2.54256,2.57155,2.53689,2.46361,2.39608,2.36621,2.37779,2.41748,2.46789,2.51564,2.55339,2.57844,2.58862,2.42325,2.41753
R_LH_des,0.699,0.706168,0.716175,0.742215,0.823225,0.982084,1.15603,1.26374,1.29614,1.29325,1.2923,1.31843,1.40679,1.70069,5.23499,5.45778,3.88717,1.30316,0.73904,0.693899,0.691345,0.691709,0.692085,0.692248,0.692583,0.693556,0.695481,0.698617,0.70318,0.709341,0.717923,0.736759,0.79823,0.940835,1.12704,1.26286,1.31179,1.30952,1.30134,1.31621,1.38406,1.60342,3.72937,5.59869,4.43008,1.67039,0.777412,0.698142,0.693156,0.693372,0.69379,0.693975,0.694219,0.695011,0.696696,0.699539,0.703767,0.709554,0.717386,0.732371,0.780502,0.905215,1.08991,1.24276,1.30879,1.31314,1.3034,1.31156,1.36476,1.53438,2.44119,5.69201,4.82466,2.1519,0.838432,0.703619,0.694553,0.694495,0.694932,0.695153,0.695336,0.695981,0.697458,0.700042,0.703969,0.709421,0.716714,0.729151,0.766936,0.874122,1.05271,1.2189,1.30233,1.31514,1.30533,1.30827,1.35004,1.4855,2.06176,5.73693,5.09778
Sc1,1.098e-08,3.23967e-09,9.55876e-10,2.82035e-10,8.32154e-11,2.4553e-11,7.24442e-12,2.13748e-12,6.3067e-13,1.86081e-13,5.49037e-14,1.61995e-14,4.7797e-15,1.41026e-15,0.210896,0.129259,0.0381383,0.0112528,0.00332017,0.000979626,0.000289041,8.52817e-05,2.51626e-05,7.42432e-06,2.19058e-06,6.46339e-07,1.90705e-07,5.62683e-08,1.66022e-08,4.89855e-09,1.44534e-09,4.26454e-10,1.25827e-10,3.71256e-11,1.0954e-11,3.23201e-12,9.53613e-13,2.81366e-13,8.30178e-14,2.44946e-14,7.2272e-15,2.13241e-15,0.00144515,0.167114,0.0493074,0.0145483,0.00429251,0.00126652,0.000373689,0.000110258,3.25319e-05,9.59863e-06,2.83212e-06,8.35628e-07,2.46556e-07,7.27473e-08,2.14644e-08,6.33317e-09,1.86863e-09,5.51347e-10,1.62677e-10,4.79984e-11,1.4162e-11,4.17855e-12,1.23289e-12,3.63768e-13,1.07331e-13,3.16683e-14,9.3438e-15,2.75691e-15,7.80268e-15,0.213977,0.0631346,0.018628,0.00549625,0.00162168,0.000478482,0.000141178,4.1655e-05,1.22905e-05,3.62635e-06,1.06997e-06,3.15698e-07,9.3148e-08,2.74837e-08,8.10916e-09,2.39264e-09,7.05957e-10,2.08295e-10,6.14583e-11,1.81335e-11,5.35034e-12,1.57863e-12,4.65779e-13,1.37429e-13,4.05489e-14,1.19641e-14,3.53003e-15,1.04155e-15,0.269382,0.0794819
InhA_delay,86.84,74.8761,64.3915,55.3558,47.6661,41.1843,35.7646,31.275,27.613,24.7019,22.4825,20.9207,20.044,20.0946,24.2873,40.5195,61.8571,89.4461,117.229,140.303,155.818,162.841,162.04,155.058,143.872,130.333,115.929,101.728,88.4088,76.3471,65.6967,56.4663,48.5775,41.9062,36.3119,31.6612,27.8473,24.793,22.4392,20.7463,19.7233,19.5359,21.6763,36.6755,56.5943,83.5046,111.885,136.362,153.672,162.498,163.226,157.359,146.858,133.634,119.266,104.912,91.3291,78.9495,67.9676,58.4169,50.2333,43.2988,37.4742,32.6221,28.6289,25.4118,22.9085,21.0741,19.9033,19.51,20.7106,33.2974,51.891,77.6693,106.235,131.81,150.728,161.287,163.561,158.884,149.169,136.367,122.134,107.714,93.9396,81.3025,70.0379,60.2064,51.7595,44.5875,38.5533,33.5177,29.3609,25.9947,23.3538,21.3893,20.0851,19.5197,20.2194,30.1108,47.8477
