Hares,21000,12000,24000,50000,80000,80000,90000,69000,80000,93000,72000,27000,14000,16000,38000,5000,153000,145000,106000,46000,23000,2000,4000,8000,7000,60000,46000,50000,103000,87000,68000,17000,10000,17000,16000,15000,46000,55000,137000,137000,95000,37000,22000,50000,54000,65000,60000,81000,95000,56000,18000,5000,2000,15000,2000,6000,45000
Lynxes,49000,21000,9000,7000,5000,5000,11000,22000,33000,33000,27000,18000,8000,4000,4000,4000,20000,35000,68000,70000,40000,22000,9000,5000,4000,10000,18000,19000,43000,37000,22000,15000,10000,8000,8000,30000,52000,75000,80000,33000,20000,13000,7000,6000,10000,20000,35000,55000,40000,28000,16000,5000,6000,10000,21000,35000,50000
