Rabbits	Foxes	Time	Experiment
0	0	16.080402010050253	0
0	0	16.180904522613066	0
0	0	16.28140703517588	0
0	0	16.381909547738694	0
0	0	16.48241206030151	0
1	0	16.582914572864322	0
1	0	16.683417085427138	0
1	0	16.78391959798995	0
1	0	16.884422110552766	0
1	0	16.984924623115578	0
1	0	17.085427135678394	0
1	0	17.185929648241206	0
1	0	17.286432160804022	0
1	0	17.386934673366834	0
1	0	17.48743718592965	0
1	0	17.587939698492463	0
1	0	17.68844221105528	0
1	0	17.78894472361809	0
1	0	17.889447236180906	0
1	1	17.98994974874372	0
1	1	18.09045226130653	0
1	1	18.190954773869347	0
1	1	18.291457286432163	0
1	1	18.39195979899497	0
1	1	18.49246231155779	0
1	1	18.592964824120603	0
1	1	18.69346733668342	0
1	1	18.79396984924623	0
1	1	18.894472361809047	0
0	1	18.99497487437186	0
0	1	19.095477386934675	0
0	1	19.195979899497488	0
0	1	19.296482412060303	0
0	1	19.39698492462312	0
0	1	19.49748743718593	0
0	1	19.597989949748744	0
0	1	19.69849246231156	0
0	1	19.79899497487437	0
0	1	19.899497487437188	0
0	1	20.0	0
