Rabbits	Foxes	Time	Experiment
0	0	0.0	0
0	0	0.100502512562814	0
0	0	0.2010050251256281	0
0	0	0.3015075376884422	0
0	0	0.4020100502512563	0
0	0	0.5025125628140704	0
0	0	0.6030150753768845	0
0	0	0.7035175879396985	0
0	0	0.8040201005025126	0
0	0	0.9045226130653268	0
0	0	1.0050251256281408	0
1	0	1.105527638190955	0
1	0	1.206030150753769	0
1	0	1.306532663316583	0
1	0	1.407035175879397	0
1	0	1.5075376884422111	0
1	0	1.6080402010050252	0
1	0	1.7085427135678393	0
1	0	1.809045226130653	0
1	0	1.9095477386934676	0
1	0	2.0100502512562817	0
1	0	2.110552763819096	0
1	0	2.21105527638191	0
1	0	2.311557788944724	0
1	1	2.412060301507538	0
1	1	2.512562814070352	0
1	1	2.613065326633166	0
1	1	2.71356783919598	0
1	1	2.814070351758794	0
1	1	2.914572864321608	0
1	1	3.0150753768844223	0
1	1	3.1155778894472363	0
1	1	3.2160804020100504	0
1	1	3.3165829145728645	0
0	1	3.4170854271356785	0
0	1	3.5175879396984926	0
0	1	3.618090452261306	0
0	1	3.7185929648241207	0
0	1	3.819095477386935	0
0	1	3.919597989949749	0
0	1	4.020100502512563	0
0	1	4.120603015075377	0
0	1	4.221105527638192	0
0	1	4.3216080402010055	0
0	1	4.42211055276382	0
0	1	4.522613065326634	0
0	0	4.623115577889448	0
0	0	4.723618090452262	0
0	0	4.824120603015076	0
0	0	4.92462311557789	0
0	0	5.025125628140704	0
0	0	5.125628140703518	0
0	0	5.226130653266332	0
0	0	5.326633165829146	0
0	0	5.42713567839196	0
0	0	5.527638190954774	0
0	0	5.628140703517588	0
0	0	5.728643216080402	0
0	0	5.8291457286432165	0
0	0	5.929648241206031	0
0	0	6.030150753768845	0
0	0	6.130653266331659	0
1	0	6.231155778894473	0
1	0	6.331658291457287	0
1	0	6.432160804020101	0
1	0	6.532663316582915	0
1	0	6.633165829145729	0
1	0	6.733668341708543	0
1	0	6.834170854271357	0
1	0	6.934673366834171	0
1	0	7.035175879396985	0
1	0	7.135678391959799	0
1	0	7.236180904522613	0
1	0	7.336683417085427	0
1	0	7.437185929648241	0
1	0	7.537688442211055	0
1	1	7.63819095477387	0
1	1	7.738693467336684	0
1	1	7.839195979899498	0
1	1	7.939698492462312	0
1	1	8.040201005025127	0
1	1	8.14070351758794	0
1	1	8.241206030150755	0
1	1	8.341708542713569	0
1	1	8.442211055276383	0
0	1	8.542713567839197	0
0	1	8.643216080402011	0
0	1	8.743718592964825	0
0	1	8.84422110552764	0
0	1	8.944723618090453	0
0	1	9.045226130653267	0
0	1	9.14572864321608	0
0	1	9.246231155778895	0
0	1	9.34673366834171	0
0	1	9.447236180904524	0
0	1	9.547738693467338	0
0	1	9.648241206030152	0
0	0	9.748743718592966	0
0	0	9.84924623115578	0
0	0	9.949748743718594	0
0	0	10.050251256281408	0
0	0	10.150753768844222	0
0	0	10.251256281407036	0
0	0	10.35175879396985	0
0	0	10.452261306532664	0
0	0	10.552763819095478	0
0	0	10.653266331658292	0
0	0	10.753768844221106	0
0	0	10.85427135678392	0
0	0	10.954773869346734	0
0	0	11.055276381909549	0
0	0	11.155778894472364	0
0	0	11.256281407035177	0
0	0	11.35678391959799	0
1	0	11.457286432160805	0
1	0	11.55778894472362	0
1	0	11.658291457286431	0
1	0	11.758793969849249	0
1	0	11.85929648241206	0
1	0	11.959798994974877	0
1	0	12.06030150753769	0
1	0	12.160804020100503	0
1	0	12.261306532663315	0
1	0	12.361809045226131	0
1	0	12.462311557788944	0
1	0	12.56281407035176	0
1	0	12.663316582914574	0
1	1	12.763819095477388	0
1	1	12.864321608040202	0
1	1	12.964824120603016	0
1	1	13.06532663316583	0
1	1	13.165829145728644	0
1	1	13.266331658291458	0
1	1	13.366834170854272	0
1	1	13.467336683417086	0
1	1	13.5678391959799	0
1	1	13.668341708542714	0
0	1	13.768844221105528	0
0	1	13.869346733668342	0
0	1	13.969849246231156	0
0	1	14.07035175879397	0
0	1	14.170854271356784	0
0	1	14.271356783919598	0
0	1	14.371859296482413	0
0	1	14.472361809045228	0
0	1	14.57286432160804	0
0	1	14.673366834170857	0
0	1	14.773869346733669	0
0	1	14.874371859296485	0
0	0	14.974874371859295	0
0	0	15.075376884422113	0
0	0	15.175879396984923	0
0	0	15.27638190954774	0
0	0	15.376884422110551	0
0	0	15.477386934673367	0
0	0	15.57788944723618	0
0	0	15.678391959798995	0
0	0	15.77889447236181	0
0	0	15.879396984924623	0
0	0	15.979899497487438	0
